method,checkpoint,gradient_evaluations,runtime_seconds,loss,step_size,epochs,seed,metadata
SGD,0,0,0.0000387090,0.6931471806,0.03,30,0,{}
SGD,1,455,0.0035915420,0.0959829031,0.03,30,0,{}
SGD,2,910,0.0069925421,0.0826963947,0.03,30,0,{}
SGD,3,1365,0.0104095840,0.0757262820,0.03,30,0,{}
SGD,4,1820,0.0183474170,0.0682447610,0.03,30,0,{}
SGD,5,2275,0.0244713341,0.0644580410,0.03,30,0,{}
SGD,6,2730,0.0278548340,0.0624475202,0.03,30,0,{}
SGD,7,3185,0.0313386250,0.0612172379,0.03,30,0,{}
SGD,8,3640,0.0347420000,0.0626112297,0.03,30,0,{}
SGD,9,4095,0.0381251670,0.0618819091,0.03,30,0,{}
SGD,10,4550,0.0414816671,0.0604189682,0.03,30,0,{}
SGD,11,5005,0.0460968340,0.0607550635,0.03,30,0,{}
SGD,12,5460,0.0552614591,0.0598844932,0.03,30,0,{}
SGD,13,5915,0.0585804591,0.0597944913,0.03,30,0,{}
SGD,14,6370,0.0618879170,0.0587845867,0.03,30,0,{}
SGD,15,6825,0.0660280420,0.0603860597,0.03,30,0,{}
SGD,16,7280,0.0757447501,0.0586917285,0.03,30,0,{}
SGD,17,7735,0.0801935421,0.0588811542,0.03,30,0,{}
SGD,18,8190,0.0837576670,0.0591832149,0.03,30,0,{}
SGD,19,8645,0.0887642921,0.0588968351,0.03,30,0,{}
SGD,20,9100,0.0921331251,0.0586128869,0.03,30,0,{}
SGD,21,9555,0.0955482920,0.0581140030,0.03,30,0,{}
SGD,22,10010,0.0992676670,0.0587295540,0.03,30,0,{}
SGD,23,10465,0.1040027920,0.0581516810,0.03,30,0,{}
SGD,24,10920,0.1075346250,0.0577882293,0.03,30,0,{}
SGD,25,11375,0.1108933750,0.0576332427,0.03,30,0,{}
SGD,26,11830,0.1168766670,0.0580479794,0.03,30,0,{}
SGD,27,12285,0.1235841670,0.0574253913,0.03,30,0,{}
SGD,28,12740,0.1268896670,0.0570602128,0.03,30,0,{}
SGD,29,13195,0.1301725000,0.0573780658,0.03,30,0,{}
SGD,30,13650,0.1334655420,0.0586549325,0.03,30,0,{}
SVRG,0,0,0.0000232910,0.6931471806,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,1,1365,0.0071132910,0.1095545482,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,2,2730,0.0132966660,0.0823105893,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,3,4095,0.0220741249,0.0669765980,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,4,5460,0.0330960409,0.0628920839,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,5,6825,0.0394907499,0.0606255882,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,6,8190,0.0620608749,0.0591118004,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,7,9555,0.0832829999,0.0580702714,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,8,10920,0.1053708750,0.0573921378,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,9,12285,0.1185205410,0.0569575634,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,10,13650,0.1274402910,0.0566659125,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,11,15015,0.1355891660,0.0564691983,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,12,16380,0.1420022909,0.0563351752,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,13,17745,0.1483523749,0.0562347463,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,14,19110,0.1549309579,0.0561546688,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,15,20475,0.1721035410,0.0560944074,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,16,21840,0.1845802079,0.0560451669,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,17,23205,0.1917889999,0.0560046333,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,18,24570,0.1979743330,0.0559713874,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,19,25935,0.2041514999,0.0559420888,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,20,27300,0.2112730410,0.0559236332,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,21,28665,0.2291813330,0.0559010947,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,22,30030,0.2354055409,0.0558784061,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,23,31395,0.2415127499,0.0558638561,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,24,32760,0.2476585830,0.0558494328,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,25,34125,0.2552966659,0.0558383310,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,26,35490,0.2703609579,0.0558283301,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,27,36855,0.2764477499,0.0558192871,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,28,38220,0.2825241250,0.0558120112,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,29,39585,0.2923539160,0.0558053048,0.1,30,0,"{""inner_loop_steps"": 455}"
SVRG,30,40950,0.2986734579,0.0557996994,0.1,30,0,"{""inner_loop_steps"": 455}"
SAGA,0,455,0.0000232919,0.6931471806,0.03,30,0,{}
SAGA,1,910,0.0045425419,0.1329216468,0.03,30,0,{}
SAGA,2,1365,0.0090221670,0.0764151115,0.03,30,0,{}
SAGA,3,1820,0.0134966250,0.0700241886,0.03,30,0,{}
SAGA,4,2275,0.0179250829,0.0676306607,0.03,30,0,{}
SAGA,5,2730,0.0223557500,0.0654998081,0.03,30,0,{}
